Rank,Algorithm,AvgFriedmanRank
1,PSO,2.8667
2,GWO,3.9667
3,MCOA,4.5667
4,SSA,4.7333
5,MPA,4.7333
6,WOA,5.1000
7,COA,5.1333
8,HHO,6.2333
9,SCA,7.6667
