Func,COA_stat,COA_p,COA_result,PSO_stat,PSO_p,PSO_result,GWO_stat,GWO_p,GWO_result,HHO_stat,HHO_p,HHO_result,SSA_stat,SSA_p,SSA_result,WOA_stat,WOA_p,WOA_result,SCA_stat,SCA_p,SCA_result,MPA_stat,MPA_p,MPA_result
F1,191.0000,0.4045,=,206.0000,0.5978,=,0.0000,0.0000,+,0.0000,0.0000,+,172.0000,0.2206,=,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F2,1.0000,0.0000,-,59.0000,0.0002,+,1.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,-,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F3,208.0000,0.6263,=,154.0000,0.1094,=,63.0000,0.0002,+,11.0000,0.0000,+,203.0000,0.5561,=,76.0000,0.0008,+,0.0000,0.0000,+,79.0000,0.0010,+
F4,151.0000,0.0961,=,90.0000,0.0026,+,207.0000,0.6120,=,6.0000,0.0000,+,34.0000,0.0000,-,50.0000,0.0001,+,0.0000,0.0000,+,37.0000,0.0000,+
F5,232.0000,1.0000,=,44.0000,0.0000,-,196.0000,0.4645,=,112.0000,0.0120,+,228.0000,0.9354,=,158.0000,0.1294,=,0.0000,0.0000,+,205.0000,0.5838,=
F6,162.0000,0.1519,=,166.0000,0.1772,=,74.0000,0.0007,+,0.0000,0.0000,+,25.0000,0.0000,-,3.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F7,178.0000,0.2710,=,156.0000,0.1156,=,129.0000,0.0327,-,79.0000,0.0010,+,71.0000,0.0009,+,85.0000,0.0017,+,72.0000,0.0006,+,122.0000,0.0221,+
F8,165.0000,0.1706,=,85.0000,0.0017,-,83.0000,0.0015,-,145.0000,0.0732,=,226.0000,0.9032,=,213.0000,0.7000,=,181.0000,0.2988,=,164.0000,0.1642,=
F9,196.0000,0.4645,=,25.0000,0.0000,-,79.0000,0.0010,-,196.0000,0.4645,=,219.0000,0.7922,=,181.0000,0.2988,=,10.0000,0.0000,+,126.0000,0.0277,-
F10,194.0000,0.4400,=,183.0000,0.3184,=,3.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,3.0000,0.0000,+,0.0000,0.0000,+,12.0000,0.0000,+
F11,86.0000,0.0019,+,220.0000,0.8078,=,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,1.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F12,43.0000,0.0000,+,117.0000,0.0164,+,19.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,5.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F13,136.0000,0.0473,+,9.0000,0.0000,+,2.0000,0.0000,+,0.0000,0.0000,+,1.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F14,60.0000,0.0002,+,115.0000,0.0145,+,0.0000,0.0000,+,0.0000,0.0000,+,2.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,1.0000,0.0000,+
F15,122.0000,0.0221,+,165.0000,0.1706,=,8.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,3.0000,0.0000,+,0.0000,0.0000,+,18.0000,0.0000,+
F16,129.0000,0.0327,+,141.0000,0.0606,=,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,8.0000,0.0000,+
F17,24.0000,0.0000,+,35.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F18,54.0000,0.0001,+,10.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F19,173.0000,0.2286,=,106.0000,0.0081,-,172.0000,0.2206,=,48.0000,0.0000,+,122.0000,0.0221,+,157.0000,0.1241,=,22.0000,0.0000,+,163.0000,0.1579,=
F20,92.0000,0.0030,-,65.0000,0.0003,+,73.0000,0.0006,+,8.0000,0.0000,+,0.0000,0.0000,-,34.0000,0.0000,+,1.0000,0.0000,+,33.0000,0.0000,+
F21,213.0000,0.7000,=,226.0000,0.9032,=,131.0000,0.0364,-,23.0000,0.0000,+,63.0000,0.0002,-,160.0000,0.1403,=,0.0000,0.0000,+,58.0000,0.0001,+
F22,117.0000,0.0164,+,142.0000,0.0636,=,25.0000,0.0000,+,1.0000,0.0000,+,185.0000,0.3387,=,15.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F23,67.0000,0.0003,-,190.0000,0.3931,=,24.0000,0.0000,+,0.0000,0.0000,+,25.0000,0.0000,-,5.0000,0.0000,+,0.0000,0.0000,+,1.0000,0.0000,+
F24,153.0000,0.1048,=,51.0000,0.0001,-,97.0000,0.0043,-,36.0000,0.0000,+,48.0000,0.0000,-,185.0000,0.3387,=,112.0000,0.0120,+,66.0000,0.0003,-
F25,137.0000,0.0497,+,130.0000,0.0345,+,202.0000,0.5425,=,173.0000,0.2286,=,83.0000,0.0015,+,81.0000,0.0012,+,126.0000,0.0277,+,58.0000,0.0001,-
F26,176.0000,0.2534,=,120.0000,0.0197,+,27.0000,0.0000,-,25.0000,0.0000,+,45.0000,0.0000,-,137.0000,0.0497,-,125.0000,0.0262,+,44.0000,0.0000,-
F27,116.0000,0.0155,+,77.0000,0.0009,+,143.0000,0.0667,=,48.0000,0.0000,+,184.0000,0.3285,=,27.0000,0.0000,+,8.0000,0.0000,+,127.0000,0.0293,+
F28,158.0000,0.1294,=,76.0000,0.0008,+,27.0000,0.0000,+,0.0000,0.0000,+,71.0000,0.0005,+,38.0000,0.0000,+,0.0000,0.0000,+,86.0000,0.0019,+
F29,63.0000,0.0002,+,79.0000,0.0010,+,18.0000,0.0000,+,0.0000,0.0000,+,65.0000,0.0003,+,1.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
W/L/T,12/3/14,,,13/5/11,,,18/6/5,,,26/0/3,,,14/8/7,,,22/1/6,,,28/0/1,,,22/4/3,,
