Func,COA_stat,COA_p,COA_result,PSO_stat,PSO_p,PSO_result,GWO_stat,GWO_p,GWO_result,HHO_stat,HHO_p,HHO_result,SSA_stat,SSA_p,SSA_result,WOA_stat,WOA_p,WOA_result,SCA_stat,SCA_p,SCA_result,MPA_stat,MPA_p,MPA_result
F1,172.0000,0.2206,=,184.0000,0.3285,=,39.0000,0.0000,+,0.0000,0.0000,+,48.0000,0.0000,+,3.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F2,43.0000,0.0000,-,48.0000,0.0000,-,100.0000,0.0054,-,7.0000,0.0000,+,0.0000,0.0000,-,43.0000,0.0000,+,0.0000,0.0000,+,46.0000,0.0000,+
F3,76.0000,0.0008,+,43.0000,0.0000,-,35.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,72.0000,0.0006,+,0.0000,0.0000,+,3.0000,0.0000,+
F4,85.0000,0.0017,-,17.0000,0.0000,-,132.0000,0.0384,-,0.0000,0.0000,+,13.0000,0.0000,-,178.0000,0.2710,=,0.0000,0.0000,+,132.0000,0.0384,+
F5,150.0000,0.0919,=,28.0000,0.0000,-,153.0000,0.1048,=,40.0000,0.0000,-,0.0000,0.0000,-,0.0000,0.0000,-,184.0000,0.3285,=,145.0000,0.0732,=
F6,176.0000,0.2534,=,0.0000,0.0000,-,0.0000,0.0000,-,38.0000,0.0000,+,62.0000,0.0002,-,89.0000,0.0024,+,0.0000,0.0000,+,41.0000,0.0000,+
F7,28.0000,0.0000,-,136.0000,0.0473,-,73.0000,0.0006,-,10.0000,0.0000,+,0.0000,0.0000,-,177.0000,0.2621,=,0.0000,0.0000,+,102.0000,0.0062,+
F8,176.0000,0.2534,=,6.0000,0.0000,-,27.0000,0.0000,-,61.0000,0.0002,+,173.0000,0.2286,=,83.0000,0.0015,+,0.0000,0.0000,+,0.0000,0.0000,+
F9,210.0000,0.6554,=,25.0000,0.0000,-,19.0000,0.0000,-,116.0000,0.0155,+,138.0000,0.0523,=,87.0000,0.0020,+,0.0000,0.0000,+,12.0000,0.0000,+
F10,95.0000,0.0037,-,1.0000,0.0000,-,144.0000,0.0699,=,99.0000,0.0050,+,120.0000,0.0197,-,231.0000,0.9838,=,0.0000,0.0000,+,206.0000,0.5978,=
F11,112.0000,0.0120,-,9.0000,0.0000,-,180.0000,0.2894,=,150.0000,0.0919,=,13.0000,0.0000,-,109.0000,0.0099,-,0.0000,0.0000,+,59.0000,0.0002,-
F12,85.0000,0.0017,-,1.0000,0.0000,-,194.0000,0.4400,=,71.0000,0.0005,-,1.0000,0.0000,-,9.0000,0.0000,-,191.0000,0.4045,=,18.0000,0.0000,-
F13,157.0000,0.1241,=,207.0000,0.6120,=,219.0000,0.7922,=,1.0000,0.0000,+,183.0000,0.3184,=,121.0000,0.0208,+,0.0000,0.0000,+,56.0000,0.0001,+
F14,33.0000,0.0000,-,198.0000,0.4898,=,207.0000,0.6120,=,0.0000,0.0000,+,9.0000,0.0000,-,12.0000,0.0000,+,0.0000,0.0000,+,76.0000,0.0008,+
F15,78.0000,0.0010,-,13.0000,0.0000,-,103.0000,0.0066,-,83.0000,0.0015,+,0.0000,0.0000,-,86.0000,0.0019,+,0.0000,0.0000,+,80.0000,0.0011,+
F16,202.0000,0.5425,=,20.0000,0.0000,-,35.0000,0.0000,-,89.0000,0.0024,-,83.0000,0.0015,-,217.0000,0.7611,=,66.0000,0.0003,+,209.0000,0.6408,=
F17,109.0000,0.0099,+,167.0000,0.1840,=,17.0000,0.0000,+,0.0000,0.0000,+,23.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F18,72.0000,0.0006,+,160.0000,0.1403,=,77.0000,0.0009,+,0.0000,0.0000,+,170.0000,0.2054,=,70.0000,0.0005,+,0.0000,0.0000,+,0.0000,0.0000,+
F19,211.0000,0.6702,=,218.0000,0.7766,=,118.0000,0.0175,+,0.0000,0.0000,+,62.0000,0.0002,+,52.0000,0.0001,+,0.0000,0.0000,+,0.0000,0.0000,+
F20,44.0000,0.0000,-,158.0000,0.1294,=,155.0000,0.1142,=,11.0000,0.0000,+,125.0000,0.0262,-,69.0000,0.0004,+,0.0000,0.0000,+,17.0000,0.0000,+
F21,162.0000,0.1519,=,126.0000,0.0277,+,56.0000,0.0001,+,0.0000,0.0000,+,3.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F22,170.0000,0.2054,=,222.0000,0.8394,=,41.0000,0.0000,+,7.0000,0.0000,+,29.0000,0.0000,+,3.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F23,101.0000,0.0058,-,55.0000,0.0001,-,1.0000,0.0000,-,6.0000,0.0000,-,38.0000,0.0000,+,41.0000,0.0000,-,152.0000,0.1004,=,139.0000,0.0549,=
F24,78.0000,0.0010,-,15.0000,0.0000,+,0.0000,0.0000,-,0.0000,0.0000,-,12.0000,0.0000,+,25.0000,0.0000,-,56.0000,0.0001,+,116.0000,0.0155,+
F25,117.0000,0.0164,-,147.0000,0.0803,=,83.0000,0.0015,-,0.0000,0.0000,-,222.0000,0.8394,=,110.0000,0.0106,+,49.0000,0.0000,+,156.0000,0.1191,=
F26,142.0000,0.0636,=,136.0000,0.0473,+,178.0000,0.2710,=,211.0000,0.6702,=,18.0000,0.0000,-,136.0000,0.0473,-,78.0000,0.0010,-,75.0000,0.0007,-
F27,187.0000,0.3599,=,29.0000,0.0000,-,4.0000,0.0000,-,135.0000,0.0449,+,90.0000,0.0026,-,118.0000,0.0175,+,6.0000,0.0000,+,14.0000,0.0000,-
F28,20.0000,0.0000,-,79.0000,0.0010,-,5.0000,0.0000,-,99.0000,0.0050,-,18.0000,0.0000,-,155.0000,0.1142,=,57.0000,0.0001,+,17.0000,0.0000,-
F29,170.0000,0.2054,=,44.0000,0.0000,-,105.0000,0.0076,+,0.0000,0.0000,-,101.0000,0.0058,-,95.0000,0.0037,+,0.0000,0.0000,+,11.0000,0.0000,+
F30,106.0000,0.0081,-,30.0000,0.0000,-,69.0000,0.0004,+,0.0000,0.0000,+,102.0000,0.0062,+,25.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
W/L/T,3/14/13,,,3/18/9,,,9/13/8,,,20/8/2,,,9/16/5,,,19/6/5,,,26/1/3,,,20/5/5,,
