Func,COA_stat,COA_p,COA_result,PSO_stat,PSO_p,PSO_result,GWO_stat,GWO_p,GWO_result,HHO_stat,HHO_p,HHO_result,SSA_stat,SSA_p,SSA_result,WOA_stat,WOA_p,WOA_result,SCA_stat,SCA_p,SCA_result,MPA_stat,MPA_p,MPA_result
F1,480.0000,0.1305,=,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F2,497.0000,0.1781,=,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F3,321.0000,0.0018,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F4,41.0000,0.0000,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F5,50.0000,0.0000,+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
W/L/T,1/2/2,,,0/0/0,,,0/0/0,,,0/0/0,,,0/0/0,,,0/0/0,,,0/0/0,,,0/0/0,,
