Rank,Algorithm,AvgFriedmanRank
1,SSA,2.4828
2,COA,3.1379
3,PSO,3.3448
4,MCOA,3.5862
5,GWO,3.6897
6,MPA,6.0345
7,WOA,6.0690
8,HHO,7.7931
9,SCA,8.8621
