Rank,Algorithm,AvgFriedmanRank
1,PSO,0.0000
2,GWO,0.0000
3,HHO,0.0000
4,SSA,0.0000
5,WOA,0.0000
6,SCA,0.0000
7,MPA,0.0000
8,COA,1.4000
9,MCOA,1.6000
