Rank,Algorithm,AvgFriedmanRank
1,MCOA,2.4828
2,COA,3.6207
3,MPA,3.9655
4,PSO,4.2414
5,SSA,4.5172
6,GWO,4.6207
7,WOA,5.7241
8,HHO,7.5172
9,SCA,8.3103
