Func,COA_stat,COA_p,COA_result,PSO_stat,PSO_p,PSO_result,GWO_stat,GWO_p,GWO_result,HHO_stat,HHO_p,HHO_result,SSA_stat,SSA_p,SSA_result,WOA_stat,WOA_p,WOA_result,SCA_stat,SCA_p,SCA_result,MPA_stat,MPA_p,MPA_result
F1,121.0000,0.0208,-,33.0000,0.0000,-,30.0000,0.0000,-,228.0000,0.9354,=,9.0000,0.0000,-,84.0000,0.0016,-,183.0000,0.3184,=,138.0000,0.0523,=
F2,136.0000,0.0473,-,0.0000,0.0000,-,24.0000,0.0000,-,0.0000,0.0000,-,0.0000,0.0000,-,41.0000,0.0000,-,0.0000,0.0000,+,0.0000,0.0000,+
F3,205.0000,0.5838,=,0.0000,0.0000,-,13.0000,0.0000,-,14.0000,0.0000,-,59.0000,0.0002,-,45.0000,0.0000,-,21.0000,0.0000,-,37.0000,0.0000,+
F4,75.0000,0.0007,-,47.0000,0.0000,-,35.0000,0.0000,-,193.0000,0.4280,=,11.0000,0.0000,-,18.0000,0.0000,-,38.0000,0.0000,+,44.0000,0.0000,+
F5,179.0000,0.2801,=,0.0000,0.0000,-,145.0000,0.0732,=,52.0000,0.0001,-,1.0000,0.0000,-,4.0000,0.0000,-,119.0000,0.0185,-,169.0000,0.1981,=
F6,214.0000,0.7151,=,0.0000,0.0000,-,0.0000,0.0000,-,96.0000,0.0040,+,25.0000,0.0000,-,97.0000,0.0043,-,206.0000,0.5978,=,43.0000,0.0000,+
F7,187.0000,0.3599,=,142.0000,0.0636,=,87.0000,0.0020,-,52.0000,0.0001,-,0.0000,0.0000,-,62.0000,0.0002,-,0.0000,0.0000,+,0.0000,0.0000,+
F8,184.0000,0.3285,=,45.0000,0.0000,-,89.0000,0.0024,-,29.0000,0.0000,+,171.0000,0.2129,=,83.0000,0.0015,+,4.0000,0.0000,+,210.0000,0.6554,=
F9,201.0000,0.5291,=,91.0000,0.0028,-,139.0000,0.0549,=,109.0000,0.0099,+,181.0000,0.2988,=,99.0000,0.0050,+,5.0000,0.0000,+,153.0000,0.1048,=
F10,232.0000,1.0000,=,48.0000,0.0000,-,109.0000,0.0099,-,117.0000,0.0164,+,175.0000,0.2449,=,140.0000,0.0577,=,0.0000,0.0000,+,127.0000,0.0293,-
F11,158.0000,0.1294,=,117.0000,0.0164,-,126.0000,0.0277,-,183.0000,0.3184,=,215.0000,0.7303,=,189.0000,0.3818,=,19.0000,0.0000,+,145.0000,0.0732,=
F12,63.0000,0.0002,-,3.0000,0.0000,-,192.0000,0.4161,=,92.0000,0.0030,-,9.0000,0.0000,-,14.0000,0.0000,-,173.0000,0.2286,=,9.0000,0.0000,-
F13,228.0000,0.9354,=,157.0000,0.1241,=,131.0000,0.0364,-,107.0000,0.0087,+,188.0000,0.3707,=,176.0000,0.2534,=,11.0000,0.0000,+,216.0000,0.7457,=
F14,157.0000,0.1241,=,184.0000,0.3285,=,229.0000,0.9515,=,114.0000,0.0137,-,195.0000,0.4522,=,188.0000,0.3707,=,5.0000,0.0000,+,142.0000,0.0636,=
F15,63.0000,0.0002,-,2.0000,0.0000,-,106.0000,0.0081,-,36.0000,0.0000,+,18.0000,0.0000,-,225.0000,0.8872,=,0.0000,0.0000,+,106.0000,0.0081,+
F16,220.0000,0.8078,=,106.0000,0.0081,-,26.0000,0.0000,-,156.0000,0.1191,=,124.0000,0.0248,-,189.0000,0.3818,=,92.0000,0.0030,+,209.0000,0.6408,=
F17,14.0000,0.0000,+,6.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F18,24.0000,0.0000,+,87.0000,0.0020,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
