Func,COA_stat,COA_p,COA_result,PSO_stat,PSO_p,PSO_result,GWO_stat,GWO_p,GWO_result,HHO_stat,HHO_p,HHO_result,SSA_stat,SSA_p,SSA_result,WOA_stat,WOA_p,WOA_result,SCA_stat,SCA_p,SCA_result,MPA_stat,MPA_p,MPA_result
F19,133.0000,0.0405,+,219.0000,0.7922,=,140.0000,0.0577,=,12.0000,0.0000,+,117.0000,0.0164,+,18.0000,0.0000,+,1.0000,0.0000,+,177.0000,0.2621,=
F20,58.0000,0.0001,+,42.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,1.0000,0.0000,+,0.0000,0.0000,+,16.0000,0.0000,+
F21,59.0000,0.0002,+,86.0000,0.0019,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+,0.0000,0.0000,+
F22,155.0000,0.1142,=,186.0000,0.3492,=,198.0000,0.4898,=,11.0000,0.0000,+,8.0000,0.0000,+,125.0000,0.0262,+,158.0000,0.1294,=,162.0000,0.1519,=
F23,31.0000,0.0000,-,176.0000,0.2534,=,72.0000,0.0006,-,0.0000,0.0000,-,158.0000,0.1294,=,63.0000,0.0002,-,75.0000,0.0007,-,0.0000,0.0000,+
F24,143.0000,0.0667,=,49.0000,0.0000,-,62.0000,0.0002,-,71.0000,0.0005,+,157.0000,0.1241,=,126.0000,0.0277,+,35.0000,0.0000,+,214.0000,0.7151,=
F25,223.0000,0.8553,=,204.0000,0.5699,=,115.0000,0.0145,+,87.0000,0.0020,+,66.0000,0.0003,+,87.0000,0.0020,+,49.0000,0.0000,+,91.0000,0.0028,-
F26,171.0000,0.2129,=,216.0000,0.7457,=,213.0000,0.7000,=,32.0000,0.0000,+,183.0000,0.3184,=,149.0000,0.0879,=,3.0000,0.0000,+,149.0000,0.0879,=
F27,63.0000,0.0002,+,168.0000,0.1909,=,110.0000,0.0106,-,202.0000,0.5425,=,162.0000,0.1519,=,18.0000,0.0000,+,223.0000,0.8553,=,133.0000,0.0405,-
F28,142.0000,0.0636,=,210.0000,0.6554,=,100.0000,0.0054,-,173.0000,0.2286,=,20.0000,0.0000,-,101.0000,0.0058,-,164.0000,0.1642,=,1.0000,0.0000,-
F29,135.0000,0.0449,+,190.0000,0.3931,=,143.0000,0.0667,=,97.0000,0.0043,+,92.0000,0.0030,+,186.0000,0.3492,=,74.0000,0.0007,+,51.0000,0.0001,-
F30,186.0000,0.3492,=,228.0000,0.9354,=,39.0000,0.0000,+,19.0000,0.0000,+,40.0000,0.0000,+,55.0000,0.0001,+,0.0000,0.0000,+,103.0000,0.0066,+
W/L/T,7/6/17,,,4/14/12,,,6/16/8,,,17/7/6,,,9/11/10,,,12/10/8,,,21/3/6,,,12/6/12,,
