Func,MCOA_mean,MCOA_std,COA_mean,COA_std,PSO_mean,PSO_std,GWO_mean,GWO_std,HHO_mean,HHO_std,SSA_mean,SSA_std,WOA_mean,WOA_std,SCA_mean,SCA_std,MPA_mean,MPA_std
F16,1.7909e+03,1.8409e+02,1.9263e+03,2.9690e+02,1.9549e+03,3.4041e+02,9.5574e+03,9.4316e+03,2.7959e+04,2.2723e+04,3.4407e+03,2.5907e+03,4.9941e+03,4.6807e+03,7.4370e+03,7.3911e+03,2.4878e+03,5.2933e+02
F17,3.6278e+03,1.9707e+03,1.0532e+04,7.3340e+03,1.2225e+04,1.0484e+04,2.5927e+04,8.0331e+03,3.0172e+04,1.1832e+04,3.4922e+04,1.8360e+04,3.2011e+04,1.5774e+04,1.6865e+05,1.9286e+05,1.6409e+04,5.8350e+03
F18,1.8550e+03,7.4329e+01,4.5836e+03,6.0048e+03,6.4367e+03,6.7456e+03,1.6861e+04,1.5434e+04,2.1032e+04,1.5846e+04,1.9075e+04,1.0872e+04,1.9495e+04,1.5558e+04,1.0954e+06,1.0485e+06,1.0582e+04,6.6748e+03
F19,2.0008e+03,8.1126e+01,1.9990e+03,1.0749e+02,1.9752e+03,8.5879e+01,2.0356e+03,9.9929e+01,2.0931e+03,1.1465e+02,2.0570e+03,1.3190e+02,2.0373e+03,8.2968e+01,2.1379e+03,8.1212e+01,2.0183e+03,3.9157e+01
F20,2.1483e+03,8.9254e+01,2.1368e+03,7.6631e+01,2.3681e+03,2.0541e+02,2.2237e+03,6.9995e+01,2.3601e+03,1.3416e+02,2.1086e+03,3.2388e+01,2.2471e+03,5.7406e+01,2.5981e+03,1.3204e+02,2.2674e+03,6.1814e+01
F21,2.2070e+03,3.6626e+00,2.2068e+03,3.2820e+00,2.2064e+03,3.3066e+00,2.2054e+03,3.4628e+00,2.2123e+03,3.1803e+00,2.2039e+03,1.9317e+00,2.2087e+03,3.7341e+00,2.2189e+03,1.9670e+00,2.2108e+03,1.3529e+00
F22,2.3529e+03,6.4328e+01,2.3566e+03,6.3471e+01,2.6504e+03,4.3076e+02,2.4768e+03,1.3529e+02,2.6049e+03,1.2620e+02,2.3593e+03,7.7128e+01,2.5132e+03,1.5469e+02,3.1469e+03,1.2031e+02,2.5609e+03,4.6442e+01
F23,2.5198e+03,6.7480e+01,2.5071e+03,5.9437e+01,2.9806e+03,7.0864e+02,2.7256e+03,1.4761e+02,2.8858e+03,1.5697e+02,2.4933e+03,2.4944e+01,2.7568e+03,1.4159e+02,3.8040e+03,3.4216e+02,2.7593e+03,7.2449e+01
F24,2.9267e+03,4.1173e+01,2.9087e+03,3.7472e+01,2.8928e+03,1.9188e+01,2.8975e+03,1.5106e+01,2.9887e+03,3.5569e+01,2.9018e+03,3.3790e+01,2.9215e+03,5.3465e+01,2.9475e+03,2.0989e+01,2.8939e+03,7.5363e+00
F25,2.9513e+03,1.2138e+02,2.9901e+03,2.3655e+01,2.9935e+03,2.7332e+01,2.9779e+03,1.9503e+01,2.9077e+03,1.7754e+02,2.9688e+03,8.8799e+00,2.9661e+03,5.7949e+00,2.9875e+03,7.1805e+00,2.9484e+03,8.0676e+01
F26,3.0146e+03,2.9446e+01,3.0195e+03,3.4452e+01,3.0192e+03,8.5741e+01,2.9995e+03,1.2864e+01,3.0430e+03,3.7796e+01,2.9982e+03,1.2258e+01,3.0083e+03,2.6784e+01,3.0160e+03,1.1420e+01,2.9641e+03,1.0607e+02
F27,2.7978e+03,1.0184e+02,2.9169e+03,1.8649e+02,2.9788e+03,1.9427e+02,2.8704e+03,1.5851e+02,2.9739e+03,1.5582e+02,2.7983e+03,1.7168e+02,2.9916e+03,1.4955e+02,3.0390e+03,7.4944e+01,2.8344e+03,3.1174e+01
F28,7.0182e+03,7.5060e+03,7.5044e+03,6.4038e+03,9.2965e+05,4.9160e+06,4.1412e+04,8.7841e+04,2.4426e+06,4.7965e+06,1.3195e+04,7.8394e+03,3.2047e+04,2.9905e+04,9.6476e+04,1.0457e+05,1.0123e+04,4.9190e+03
F29,1.8563e+04,8.9151e+03,2.3241e+07,1.0883e+08,7.6985e+05,2.9014e+06,2.8156e+05,6.0271e+05,1.6238e+07,3.3741e+07,1.5513e+06,5.2378e+06,1.5644e+06,6.3212e+06,2.2860e+07,2.7591e+07,3.3918e+05,3.4031e+05
