Func,MCOA_mean,MCOA_std,COA_mean,COA_std,PSO_mean,PSO_std,GWO_mean,GWO_std,HHO_mean,HHO_std,SSA_mean,SSA_std,WOA_mean,WOA_std,SCA_mean,SCA_std,MPA_mean,MPA_std
F1,6.4228e+03,8.0793e+03,6.6558e+03,1.3162e+04,3.7839e+07,2.0375e+08,7.7084e+07,1.9086e+08,1.8815e+08,1.6131e+08,3.4502e+03,2.9469e+03,4.4010e+07,1.0998e+08,1.1429e+09,3.9158e+08,5.4855e+07,3.1733e+07
F2,2.0069e+02,1.6167e+00,2.0002e+02,7.0459e-02,2.5038e+02,1.9062e+02,7.7050e+02,1.1197e+03,6.5138e+02,4.3601e+02,2.0000e+02,9.4736e-10,4.3442e+02,3.2804e+02,1.9511e+03,6.4509e+02,5.8852e+02,3.3595e+02
F3,3.0850e+02,7.5194e+00,3.1482e+02,2.3296e+01,3.1665e+02,2.3009e+01,3.3320e+02,3.7148e+01,3.5706e+02,3.3449e+01,3.1418e+02,1.9917e+01,3.3200e+02,3.9550e+01,3.7685e+02,2.8508e+01,3.1574e+02,8.4792e+00
F4,4.7422e+02,4.0256e+01,4.6026e+02,3.4562e+01,4.9248e+02,2.2321e+02,4.9362e+02,8.7998e+01,6.1396e+02,7.8663e+01,4.3207e+02,1.5069e+01,5.7471e+02,1.2510e+02,1.4957e+03,4.8424e+02,5.2768e+02,2.6025e+01
F5,5.0000e+02,9.1718e-05,5.0000e+02,2.5851e-04,5.0000e+02,1.8819e-06,5.0000e+02,3.6939e-04,5.0000e+02,2.0128e-04,5.0000e+02,6.8543e-04,5.0000e+02,1.8597e-04,5.0000e+02,1.4662e-03,5.0000e+02,2.2655e-05
F6,6.9138e+02,3.9646e+01,6.9208e+02,1.2766e+02,2.6706e+03,4.1592e+03,2.0565e+03,2.4092e+03,2.7022e+03,1.1951e+03,6.4581e+02,1.8859e+01,2.5346e+03,4.8328e+03,2.9613e+04,1.1009e+04,1.8723e+03,4.4381e+02
F7,7.4604e+02,1.8979e+01,7.5468e+02,2.1790e+01,7.3967e+02,1.4302e+01,7.3972e+02,1.5805e+01,7.6469e+02,2.0887e+01,7.6548e+02,2.4899e+01,7.5828e+02,1.7352e+01,7.6912e+02,1.9488e+01,7.5662e+02,1.5279e+01
F8,8.0096e+02,1.0402e+00,8.0140e+02,1.5390e+00,8.0046e+02,7.6291e-01,8.0030e+02,3.4118e-01,8.0135e+02,7.2272e-01,8.0093e+02,1.1657e+00,8.0097e+02,1.0622e+00,8.0098e+02,4.5070e-01,8.0044e+02,3.1917e-01
F9,1.7843e+03,2.6490e+02,1.7328e+03,3.8437e+02,1.3361e+03,2.5666e+02,1.4865e+03,3.1790e+02,1.8398e+03,2.0302e+02,1.7632e+03,2.3172e+02,1.7226e+03,3.0930e+02,2.2993e+03,2.5113e+02,1.6813e+03,1.3509e+02
F10,3.4885e+03,4.1943e+03,6.3433e+03,7.6934e+03,3.0905e+03,3.7737e+03,1.6340e+04,8.3470e+03,2.4578e+04,1.3355e+04,2.7104e+04,1.4912e+04,1.9088e+04,1.2145e+04,8.4894e+04,5.8695e+04,1.8085e+04,7.8128e+03
F11,1.4099e+04,1.2640e+04,4.5540e+04,8.7143e+04,3.0162e+06,1.4163e+07,3.5573e+06,3.5165e+06,1.1085e+07,1.4284e+07,1.0175e+07,1.2355e+07,4.9608e+06,5.5952e+06,7.5927e+07,4.1165e+07,1.2804e+06,1.0178e+06
F12,5.5679e+03,2.8442e+03,2.2095e+04,5.4321e+04,3.5013e+04,1.0308e+05,1.8308e+05,8.2349e+05,4.4175e+05,6.5274e+05,1.3895e+05,2.2696e+05,6.2146e+04,1.2146e+05,2.1339e+06,2.8799e+06,2.7696e+04,1.8057e+04
F13,2.1371e+03,7.6940e+02,3.5430e+03,5.0158e+03,8.6183e+03,5.4308e+03,1.1750e+04,5.3744e+03,1.5284e+04,4.6042e+03,1.7010e+04,1.0502e+04,1.2959e+04,7.4028e+03,1.0269e+04,4.3938e+03,7.7363e+03,3.2610e+03
F14,6.3257e+03,6.1109e+03,1.9867e+04,1.2106e+04,1.0866e+04,9.6752e+03,1.5585e+05,1.3167e+05,4.3113e+05,4.1529e+05,2.9532e+05,3.8838e+05,1.8780e+05,2.2818e+05,4.9597e+05,4.1852e+05,3.0638e+04,1.6361e+04
F15,1.7274e+03,2.0702e+02,1.9074e+03,3.2457e+02,3.2231e+03,4.4157e+03,2.6058e+03,5.3375e+02,9.2382e+03,6.1576e+03,8.9261e+03,8.4839e+03,4.6571e+03,5.7636e+03,3.9323e+03,2.1529e+03,2.7701e+03,1.3047e+03
