Func,MCOA_mean,MCOA_std,COA_mean,COA_std,PSO_mean,PSO_std,GWO_mean,GWO_std,HHO_mean,HHO_std,SSA_mean,SSA_std,WOA_mean,WOA_std,SCA_mean,SCA_std,MPA_mean,MPA_std
F1,1.3065e-02,4.2665e-04,1.4333e-02,2.2796e-03,1.3587e-02,1.1421e-03,1.2712e-02,3.5444e-05,1.3962e-02,1.3938e-03,1.3292e-02,5.2552e-04,1.3085e-02,5.0940e-04,1.2952e-02,1.1049e-04,1.4645e-02,1.9534e-03
F2,6.5182e+03,4.2643e+02,6.4568e+03,5.6216e+02,6.2754e+03,3.6487e+02,6.0699e+03,3.6891e+02,6.6606e+03,3.5490e+02,6.4473e+03,4.6154e+02,6.4661e+03,5.5736e+02,6.8621e+03,5.1891e+02,8.8921e+03,1.3633e+03
F3,1.7540e+00,2.0617e-02,1.7455e+00,1.9264e-02,1.8336e+00,1.9995e-01,1.7261e+00,7.4462e-04,1.9136e+00,1.5755e-01,1.7754e+00,5.9812e-02,1.7291e+00,4.1364e-03,1.8552e+00,3.6348e-02,1.9749e+00,1.9897e-01
F4,3.0157e+03,7.5777e+00,3.0044e+03,5.8415e+00,3.0318e+03,3.0016e+01,3.0036e+03,3.5239e+00,3.0296e+03,1.7252e+01,3.0370e+03,2.4339e+01,3.0036e+03,5.2763e+00,3.0807e+03,2.3734e+01,3.0683e+03,2.1756e+01
F5,-7.7384e+05,2.9358e+03,-7.6295e+05,8.8422e+04,-7.6788e+05,2.1570e+04,-7.7559e+05,1.1642e-10,-7.7559e+05,1.1642e-10,-7.7559e+05,1.1642e-10,-7.7559e+05,1.1642e-10,-7.7559e+05,1.1642e-10,-7.7559e+05,1.1642e-10
