Func,MCOA_mean,MCOA_std,COA_mean,COA_std,PSO_mean,PSO_std,GWO_mean,GWO_std,HHO_mean,HHO_std,SSA_mean,SSA_std,WOA_mean,WOA_std,SCA_mean,SCA_std,MPA_mean,MPA_std
F1,3.5336e+09,2.5209e+09,6.2532e+08,5.6417e+08,2.0028e+09,2.2480e+09,3.0180e+09,1.7525e+09,8.3280e+09,2.1029e+09,5.7163e+05,9.0774e+05,6.3669e+09,3.7612e+09,2.4171e+10,4.3956e+09,5.8581e+09,2.1800e+09
F2,1.3678e+04,5.6107e+03,5.6042e+03,2.5620e+03,1.5121e+03,2.1565e+03,2.0525e+04,7.9171e+03,3.5629e+04,8.0988e+03,3.0565e+03,2.0274e+03,2.6939e+04,9.7312e+03,4.8961e+04,7.9908e+03,3.0173e+04,8.0094e+03
F3,7.4416e+02,1.9100e+02,5.8249e+02,1.3616e+02,4.6742e+02,1.4124e+02,5.6012e+02,1.0202e+02,1.5981e+03,6.5422e+02,4.4755e+02,6.9647e+01,9.7006e+02,3.3377e+02,3.7385e+03,1.2183e+03,9.8027e+02,2.4151e+02
F4,5.1898e+03,2.3742e+03,2.9238e+03,1.7513e+03,5.7853e+03,4.2351e+03,3.3926e+03,1.8375e+03,1.4963e+04,3.6306e+03,7.1556e+02,9.6425e+01,7.6141e+03,4.2327e+03,2.7177e+04,5.7991e+03,6.3872e+03,1.6685e+03
F5,5.0001e+02,5.3614e-03,5.0000e+02,3.8362e-03,5.0000e+02,1.2070e-03,5.0000e+02,4.9163e-03,5.0001e+02,4.5912e-03,5.0000e+02,2.5420e-03,5.0001e+02,4.2740e-03,5.0003e+02,1.3109e-02,5.0001e+02,2.2719e-03
F6,1.2457e+05,6.4731e+04,4.1416e+04,3.1831e+04,7.6597e+04,9.3789e+04,7.7228e+04,6.2745e+04,4.2469e+05,1.1893e+05,1.1935e+03,1.9206e+02,2.1636e+05,1.1774e+05,1.0208e+06,1.5628e+05,1.9898e+05,6.2161e+04
F7,1.1468e+03,8.9406e+01,1.2001e+03,1.2315e+02,9.8475e+02,5.7605e+01,9.5637e+02,1.0982e+02,1.1891e+03,8.8437e+01,1.1172e+03,9.5886e+01,1.2034e+03,1.2025e+02,1.2986e+03,4.2648e+01,1.2926e+03,8.8054e+01
F8,8.1512e+02,5.3594e+00,8.1766e+02,5.5043e+00,8.0931e+02,4.0626e+00,8.0500e+02,2.2894e+00,8.1386e+02,3.3747e+00,8.1172e+02,4.4011e+00,8.1910e+02,7.6166e+00,8.1894e+02,5.5833e+00,8.2291e+02,7.3929e+00
F9,6.7317e+03,1.0570e+03,6.0193e+03,9.6234e+02,4.2406e+03,7.3269e+02,5.3861e+03,1.6812e+03,6.7261e+03,6.9499e+02,4.9317e+03,7.1820e+02,6.0208e+03,8.7842e+02,8.5554e+03,4.1117e+02,5.9840e+03,4.0446e+02
F10,1.4890e+05,8.3451e+04,1.2474e+05,4.5896e+04,7.9254e+04,4.8057e+04,1.2576e+06,4.6950e+06,1.0972e+07,1.3764e+07,1.5013e+05,3.7456e+04,6.0327e+06,2.7197e+07,2.2954e+08,1.9197e+08,2.5746e+06,5.4413e+06
