Func,MCOA_mean,MCOA_std,COA_mean,COA_std,PSO_mean,PSO_std,GWO_mean,GWO_std,HHO_mean,HHO_std,SSA_mean,SSA_std,WOA_mean,WOA_std,SCA_mean,SCA_std,MPA_mean,MPA_std
F11,2.3329e+07,2.2593e+07,5.8833e+06,7.3892e+06,9.6067e+07,3.1642e+08,3.9404e+07,3.0620e+07,3.4867e+08,1.9630e+08,5.1114e+07,4.3583e+07,1.6124e+08,2.7896e+08,3.5952e+09,9.6395e+08,2.4990e+08,7.5808e+07
F12,5.1919e+06,5.9412e+06,7.6495e+05,1.3744e+06,1.9557e+07,6.1951e+07,4.4697e+07,8.2483e+07,2.8181e+08,1.9286e+08,1.8456e+06,1.0365e+06,1.3420e+08,2.3262e+08,2.5590e+09,6.7616e+08,1.4415e+08,1.1553e+08
F13,1.7168e+05,7.8179e+04,3.4041e+05,1.6674e+05,3.0593e+05,2.6787e+05,1.6813e+06,1.9830e+06,2.9083e+06,1.9864e+06,1.2161e+06,1.3514e+06,1.8576e+06,1.4403e+06,3.6724e+06,2.2701e+06,9.2256e+05,4.4280e+05
F14,2.3460e+05,2.7360e+05,2.5927e+05,2.7654e+05,7.0536e+06,1.9304e+07,6.0083e+06,2.0513e+07,5.3246e+07,4.5558e+07,8.2304e+05,4.3586e+05,1.8026e+07,3.6372e+07,9.8421e+08,4.3218e+08,2.4698e+07,1.2176e+07
F15,4.8032e+04,5.8045e+04,2.1937e+05,8.6197e+05,9.4927e+05,3.9461e+06,1.9164e+06,2.2079e+06,2.6306e+06,2.8763e+06,7.7658e+05,8.9724e+05,1.7066e+06,1.7798e+06,4.2872e+07,3.3880e+07,8.7072e+05,1.2714e+06
F16,2.0332e+04,1.1491e+04,2.7587e+04,3.4856e+04,3.8275e+04,6.4497e+04,6.9965e+04,3.2334e+04,1.5653e+08,8.3476e+08,8.5737e+04,4.4367e+04,8.9386e+04,3.8507e+04,2.1738e+10,3.6509e+10,1.0605e+05,4.8411e+04
F17,1.5453e+05,1.2863e+05,3.2000e+05,2.4505e+05,8.9323e+04,5.6062e+04,9.4150e+05,6.9859e+05,1.2183e+06,9.7675e+05,9.0126e+05,5.8817e+05,9.4813e+05,7.8206e+05,7.6785e+06,4.8695e+06,1.1096e+06,6.3110e+05
F18,4.8625e+05,7.0710e+05,5.4247e+05,1.5444e+06,5.6485e+09,1.4052e+10,3.6794e+09,4.7547e+09,1.9594e+10,1.5279e+10,1.2504e+07,6.6813e+07,3.7607e+09,4.4231e+09,7.3833e+10,8.8213e+10,3.2965e+08,3.0747e+08
F19,4.7792e+03,1.0119e+03,4.2305e+03,9.9267e+02,2.5022e+03,2.1290e+02,3.1632e+03,6.5945e+02,6.5422e+03,1.6162e+03,5.0992e+03,1.3281e+03,4.7345e+03,1.1449e+03,5.8849e+03,8.9088e+02,5.1990e+03,1.2177e+03
F20,5.2645e+03,1.8902e+03,3.9190e+03,1.0542e+03,4.3677e+03,1.5065e+03,4.2466e+03,1.0031e+03,8.2471e+03,4.6135e+03,2.5351e+03,2.8541e+02,6.9192e+03,2.7004e+03,1.6629e+04,4.9667e+03,4.0589e+03,4.4404e+02
F21,2.4457e+03,6.8664e+01,2.4599e+03,8.4325e+01,2.3852e+03,4.5231e+01,2.3181e+03,2.1092e+01,2.7396e+03,2.8885e+02,2.3253e+03,2.6253e+01,2.4500e+03,6.5540e+01,2.6704e+03,8.5335e+01,2.3928e+03,2.9696e+01
F22,9.2248e+03,2.3931e+03,5.6037e+03,1.3865e+03,1.1164e+04,4.4923e+03,8.3768e+03,2.8305e+03,1.9350e+04,6.7769e+03,2.5463e+03,2.7150e+02,1.1066e+04,3.6623e+03,2.7247e+04,4.7091e+03,1.2593e+04,1.6159e+03
F23,6.1126e+03,1.1816e+03,4.2110e+03,7.5022e+02,7.0446e+03,2.6260e+03,5.9706e+03,1.6003e+03,1.1493e+04,2.5941e+03,2.5909e+03,1.5888e+02,7.9128e+03,2.8675e+03,1.8245e+04,2.9301e+03,8.0031e+03,9.0233e+02
F24,3.0765e+03,1.2374e+02,2.9628e+03,5.5340e+01,2.8970e+03,7.3560e+01,3.0087e+03,7.8911e+01,3.4560e+03,2.0140e+02,2.9253e+03,5.5615e+01,3.1284e+03,2.2264e+02,4.1215e+03,5.1987e+02,3.1565e+03,1.1460e+02
F25,3.4259e+03,6.6333e+01,3.5025e+03,1.7325e+02,3.5138e+03,1.5679e+02,3.4709e+03,8.5979e+01,3.8768e+03,3.8523e+02,3.4033e+03,4.9151e+01,3.4125e+03,3.5732e+01,4.6511e+03,3.7351e+02,3.4465e+03,2.9342e+01
F26,3.2570e+03,6.5661e+01,3.2324e+03,7.6291e+01,3.2172e+03,6.3038e+01,3.1771e+03,3.1687e+01,3.4996e+03,2.0681e+02,3.1912e+03,3.5942e+01,3.2871e+03,1.2042e+02,3.5224e+03,8.3905e+01,3.2246e+03,3.1329e+01
F27,3.2608e+03,7.2885e+01,3.2279e+03,6.4930e+01,3.3622e+03,2.4017e+02,3.2116e+03,3.4267e+01,3.5502e+03,1.5370e+02,3.1784e+03,2.4051e+01,3.2701e+03,7.9836e+01,4.1006e+03,2.3872e+02,3.2951e+03,5.1893e+01
F28,1.4138e+07,3.7891e+07,1.4441e+08,3.4164e+08,1.4806e+07,3.5518e+07,2.5773e+08,2.4218e+08,1.2002e+09,1.2981e+09,6.2293e+07,1.5941e+08,2.1637e+08,1.8234e+08,1.1728e+10,9.1339e+09,3.4480e+08,2.6489e+08
F29,1.1313e+07,2.0794e+07,2.9707e+07,9.3824e+07,1.4504e+08,5.8828e+08,5.8003e+08,4.3826e+08,3.1369e+09,2.3976e+09,1.4022e+08,2.0628e+08,9.2264e+08,8.3999e+08,9.0626e+09,4.9237e+09,7.0794e+08,4.2824e+08
