Func,MCOA_mean,MCOA_std,COA_mean,COA_std,PSO_mean,PSO_std,GWO_mean,GWO_std,HHO_mean,HHO_std,SSA_mean,SSA_std,WOA_mean,WOA_std,SCA_mean,SCA_std,MPA_mean,MPA_std
F1,1.6148e+07,9.4512e+06,1.1153e+07,8.7840e+06,2.7285e+06,9.6641e+06,7.8069e+06,5.4327e+06,1.7919e+07,1.2562e+07,2.2068e+06,1.9849e+06,7.5175e+06,7.5979e+06,1.4571e+07,6.1941e+06,2.2468e+07,1.2370e+07
F2,2.2560e+08,2.0668e+08,1.2725e+08,1.1343e+08,2.7729e+03,3.0994e+03,4.7970e+07,1.0763e+08,1.5039e+07,1.6719e+07,2.9800e+03,2.5269e+03,5.2510e+07,1.8937e+08,1.3623e+09,7.0440e+08,1.2342e+09,4.9751e+08
F3,2.8108e+04,8.7021e+03,2.8664e+04,1.3429e+04,3.2123e+03,4.6099e+03,1.3254e+04,8.7435e+03,1.5534e+04,3.8112e+03,1.6053e+04,9.5923e+03,1.5492e+04,1.0586e+04,1.2969e+04,8.3900e+03,4.5319e+04,1.5887e+04
F4,4.6176e+02,2.1742e+01,4.3920e+02,2.1494e+01,4.3387e+02,1.9001e+01,4.3868e+02,1.5457e+01,4.6059e+02,4.0594e+01,4.2945e+02,1.3971e+01,4.2526e+02,2.1802e+01,4.9460e+02,2.8487e+01,5.2267e+02,6.5085e+01
F5,5.2060e+02,1.2360e-01,5.2057e+02,8.3486e-02,5.1952e+02,3.6273e+00,5.2034e+02,1.0728e+00,5.2044e+02,1.4160e-01,5.2008e+02,1.3003e-01,5.2014e+02,1.4638e-01,5.2052e+02,1.1470e-01,5.2055e+02,1.2545e-01
F6,6.0736e+02,1.6893e+00,6.0716e+02,1.8544e+00,6.0240e+02,1.1148e+00,6.0270e+02,1.0523e+00,6.0870e+02,1.5128e+00,6.0483e+02,1.7815e+00,6.0631e+02,1.5962e+00,6.0780e+02,1.3057e+00,6.0921e+02,1.1156e+00
F7,7.0242e+02,1.1108e+00,7.0241e+02,1.5185e+00,7.0191e+02,3.1222e+00,7.0164e+02,1.0823e+00,7.0158e+02,5.6218e-01,7.0021e+02,1.5646e-01,7.0131e+02,9.2958e-01,7.1665e+02,6.3522e+00,7.1613e+02,6.2712e+00
F8,8.2510e+02,1.0199e+01,8.2875e+02,1.3181e+01,8.1356e+02,6.2638e+00,8.1698e+02,7.4004e+00,8.3731e+02,7.6588e+00,8.2958e+02,1.2277e+01,8.3621e+02,1.4595e+01,8.4824e+02,8.3206e+00,8.2656e+02,6.0167e+00
F9,9.2819e+02,1.1494e+01,9.3079e+02,1.2543e+01,9.1947e+02,7.3415e+00,9.2156e+02,1.0671e+01,9.3647e+02,9.9287e+00,9.3240e+02,1.1333e+01,9.3906e+02,1.1770e+01,9.5200e+02,7.0313e+00,9.3280e+02,6.6727e+00
F10,1.6605e+03,2.5016e+02,1.6479e+03,2.6266e+02,1.3990e+03,1.9087e+02,1.4484e+03,2.3107e+02,1.8716e+03,3.2797e+02,1.7555e+03,2.6628e+02,1.5464e+03,2.2479e+02,2.2326e+03,1.9446e+02,1.5443e+03,1.5029e+02
F11,2.0823e+03,3.6137e+02,1.9781e+03,3.1734e+02,1.8287e+03,2.8399e+02,1.8277e+03,4.1052e+02,2.1816e+03,2.6609e+02,2.0342e+03,2.8864e+02,2.1738e+03,3.5306e+02,2.6873e+03,1.9293e+02,1.9127e+03,1.6129e+02
F12,1.2014e+03,4.8900e-01,1.2008e+03,4.3280e-01,1.2002e+03,1.2293e-01,1.2015e+03,5.5074e-01,1.2010e+03,4.1983e-01,1.2003e+03,3.0560e-01,1.2006e+03,3.2910e-01,1.2015e+03,3.9655e-01,1.2006e+03,1.5128e-01
F13,1.3004e+03,1.8458e-01,1.3004e+03,1.4528e-01,1.3003e+03,1.1416e-01,1.3003e+03,8.6937e-02,1.3005e+03,1.5039e-01,1.3004e+03,1.7313e-01,1.3004e+03,1.3007e-01,1.3007e+03,2.0808e-01,1.3004e+03,8.0989e-02
F14,1.4005e+03,3.0492e-01,1.4005e+03,3.5283e-01,1.4004e+03,2.0645e-01,1.4004e+03,1.7393e-01,1.4003e+03,7.0385e-02,1.4004e+03,2.1930e-01,1.4005e+03,3.0776e-01,1.4016e+03,6.9474e-01,1.4003e+03,6.0182e-02
F15,1.5040e+03,1.8594e+00,1.5025e+03,1.1918e+00,1.5011e+03,4.0046e-01,1.5029e+03,9.7218e-01,1.5079e+03,3.9916e+00,1.5018e+03,6.2433e-01,1.5047e+03,4.2322e+00,1.5180e+03,3.1789e+01,1.5052e+03,1.1202e+00
F16,1.6034e+03,2.7101e-01,1.6034e+03,3.8019e-01,1.6030e+03,5.5748e-01,1.6029e+03,3.5634e-01,1.6033e+03,3.1315e-01,1.6032e+03,3.2696e-01,1.6033e+03,3.3997e-01,1.6036e+03,1.7533e-01,1.6034e+03,2.9434e-01
F17,3.3666e+03,1.1657e+03,8.3900e+03,5.1025e+03,8.1628e+03,4.8362e+03,3.4145e+04,3.7396e+04,7.8368e+04,7.9114e+04,8.1142e+04,1.3694e+05,3.5568e+04,4.7837e+04,9.5181e+04,7.5708e+04,2.0491e+04,1.1228e+04
F18,2.9058e+03,1.8100e+03,1.1986e+04,1.1879e+04,7.3500e+03,8.9919e+03,3.7692e+04,1.3597e+04,4.2439e+04,1.7024e+04,4.1409e+04,1.6318e+04,4.7513e+04,1.9598e+04,1.6172e+05,9.4760e+04,1.7366e+04,5.4686e+03
F19,1.9101e+03,6.2346e+00,1.9141e+03,9.2387e+00,1.9137e+03,1.2905e+01,1.9175e+03,1.9554e+01,1.9394e+03,3.2182e+01,1.9233e+03,3.8002e+01,1.9263e+03,1.8759e+01,2.2970e+03,4.4078e+02,1.9105e+03,2.9025e+00
F20,8.7254e+03,7.2412e+03,2.4960e+04,1.6941e+04,2.1633e+04,1.3751e+04,2.9662e+04,1.9568e+04,8.3822e+04,1.2387e+05,4.3103e+04,2.1120e+04,3.9325e+04,2.0881e+04,3.6474e+07,7.8649e+07,2.6563e+04,1.2520e+04
F21,2.3073e+03,1.9266e+02,5.7943e+03,7.2877e+03,4.2793e+03,5.5790e+03,1.8320e+05,2.7238e+05,2.6507e+04,1.9410e+04,3.8110e+04,6.9480e+04,1.8963e+04,1.0377e+04,1.1982e+05,1.5804e+05,1.7965e+04,9.3161e+03
F22,2.3748e+03,1.8785e+02,2.4921e+03,2.6842e+02,2.3717e+03,1.5971e+02,2.3564e+03,1.8386e+02,3.1916e+03,7.6334e+02,2.9381e+03,4.5591e+02,2.4583e+03,2.3725e+02,2.4761e+03,2.5672e+02,2.3070e+03,6.7505e+01
F23,2.5327e+03,1.5273e+01,2.5152e+03,1.8841e+01,2.5415e+03,1.8349e+00,2.5137e+03,1.9480e+01,2.5000e+03,5.5506e-04,2.5417e+03,1.4776e+00,2.5112e+03,1.8669e+01,2.5122e+03,1.9286e+01,2.5429e+03,1.3914e+00
F24,2.5425e+03,1.3370e+01,2.5516e+03,1.7558e+01,2.5276e+03,1.0337e+01,2.5284e+03,1.2699e+01,2.5638e+03,2.4001e+01,2.5376e+03,1.4002e+01,2.5521e+03,1.8655e+01,2.5615e+03,8.2705e+00,2.5431e+03,9.5399e+00
F25,2.6963e+03,1.4856e+01,2.6978e+03,1.0601e+01,2.6983e+03,1.1144e+01,2.7016e+03,1.8987e+00,2.7000e+03,2.2746e-01,2.7023e+03,1.0823e+00,2.7015e+03,3.6665e+00,2.7026e+03,1.0297e+00,2.6865e+03,1.0980e+01
F26,2.7004e+03,1.7582e-01,2.7004e+03,1.5415e-01,2.7070e+03,2.4877e+01,2.7070e+03,2.4863e+01,2.7006e+03,2.2353e-01,2.7004e+03,1.6023e-01,2.7005e+03,1.9678e-01,2.7010e+03,1.6427e-01,2.7004e+03,7.8091e-02
F27,3.1072e+03,8.1275e+01,3.1506e+03,5.2464e+01,3.1306e+03,6.2936e+01,3.0837e+03,3.4089e+01,3.0775e+03,1.5666e+02,3.1212e+03,5.0290e+01,3.1575e+03,6.1075e+01,3.1023e+03,5.6720e+01,3.0387e+03,1.4643e+02
F28,3.3711e+03,1.3271e+02,3.3279e+03,1.3525e+02,3.3794e+03,1.2042e+02,3.2936e+03,1.1342e+02,3.3165e+03,3.2451e+02,3.2414e+03,7.8410e+01,3.2859e+03,9.4703e+01,3.3217e+03,6.6688e+01,3.1965e+03,1.2134e+01
F29,6.1762e+06,1.6808e+06,7.2229e+06,3.0667e+06,6.6047e+06,2.5457e+06,6.8605e+06,1.5048e+06,1.2713e+07,1.2692e+07,8.5796e+06,3.6685e+06,5.8167e+06,1.2855e+06,7.7553e+06,1.4190e+06,4.9039e+06,3.4860e+05
F30,8.3757e+04,1.5406e+05,1.3432e+06,3.5334e+06,6.2098e+05,1.9887e+06,6.1106e+05,8.6486e+05,2.6546e+06,1.0440e+07,9.1004e+05,2.9639e+06,1.0096e+06,2.4694e+06,1.5969e+06,1.4489e+06,1.5517e+05,1.2517e+05
